,Lon,Lat,Date,Station,Track
301,-66.49338167,44.69974833,25-Sep,16,m20
302,-66.493845,44.70097333,25-Sep,16,m20
303,-66.49378667,44.701335,25-Sep,,
304,-66.49340333,44.7019,25-Sep,,
305,-66.493205,44.702255,25-Sep,,
306,-66.49313,44.70255,25-Sep,,
307,-66.492795,44.70311167,25-Sep,,
308,-66.49111167,44.70653167,25-Sep,,
309,-66.49081,44.70734667,25-Sep,,
310,-66.49073,44.707435,25-Sep,,
311,-66.49061,44.707475,25-Sep,,
312,-66.49048667,44.707455,25-Sep,,
313,-66.490405,44.70739,25-Sep,,
314,-66.49038333,44.70729333,25-Sep,,
315,-66.49061,44.70663167,25-Sep,,
316,-66.49322833,44.70145333,25-Sep,,
317,-66.49333167,44.70139667,25-Sep,,
318,-66.49344,44.7014,25-Sep,,
319,-66.49354,44.70147667,25-Sep,,
320,-66.49355833,44.70162167,25-Sep,,
321,-66.49340333,44.70227833,25-Sep,,
322,-66.49334167,44.70285,25-Sep,,
323,-66.49338167,44.703665,25-Sep,,
324,-66.49347833,44.704555,25-Sep,,
325,-66.49359,44.705065,25-Sep,,
326,-66.49388,44.70596833,25-Sep,,
327,-66.493925,44.70601333,25-Sep,,
328,-66.49399,44.70600833,25-Sep,,
329,-66.49390667,44.70540333,25-Sep,,
330,-66.49397,44.70547167,25-Sep,,
331,-66.49398333,44.70602333,25-Sep,,
332,-66.494055,44.70601167,25-Sep,,
333,-66.49412,44.70592333,25-Sep,,
334,-66.49413,44.705815,25-Sep,,
335,-66.494025,44.7055,25-Sep,,
336,-66.49369,44.70489333,25-Sep,,
337,-66.49366333,44.70480333,25-Sep,,
338,-66.49368833,44.70474167,25-Sep,,
339,-66.49377167,44.70471,25-Sep,,
340,-66.49386667,44.70473,25-Sep,,
341,-66.49395167,44.70482333,25-Sep,,
342,-66.49398333,44.70516333,25-Sep,,
343,-66.493885,44.70624833,25-Sep,17,m21
344,-66.49385667,44.70736,25-Sep,17,m21
345,-66.49346,44.71142667,25-Sep,17,m21
346,-66.49343,44.71237833,25-Sep,17,m21
347,-66.49356667,44.71454,25-Sep,17,m21
348,-66.49416833,44.720955,25-Sep,17,m21
349,-66.49429333,44.72180833,25-Sep,17,m21
350,-66.49430333,44.72208167,25-Sep,17,m21
351,-66.494215,44.72275833,25-Sep,,
352,-66.49415,44.72288333,25-Sep,,
353,-66.49406,44.72294667,25-Sep,,
354,-66.49390167,44.72297667,25-Sep,,
355,-66.493765,44.72292667,25-Sep,,
356,-66.49370667,44.722845,25-Sep,,
357,-66.49363,44.72231167,25-Sep,,
358,-66.49347,44.72172667,25-Sep,,
359,-66.49329667,44.720545,25-Sep,,
360,-66.4933,44.72030833,25-Sep,,
361,-66.49337833,44.72020667,25-Sep,,
362,-66.49353,44.72015833,25-Sep,,
363,-66.493715,44.72016667,25-Sep,,
364,-66.49387167,44.72023,25-Sep,,
365,-66.49400833,44.72036167,25-Sep,,
366,-66.49410833,44.72057333,25-Sep,,
367,-66.49408,44.721085,25-Sep,,
368,-66.493975,44.72171833,25-Sep,,
369,-66.49334,44.72382667,25-Sep,,
370,-66.49327833,44.724285,25-Sep,,
371,-66.49325167,44.72550667,25-Sep,,
372,-66.493325,44.72667167,25-Sep,,
373,-66.49330667,44.727025,25-Sep,,
374,-66.49315,44.72773167,25-Sep,,
375,-66.49272,44.72909167,25-Sep,,
376,-66.49226167,44.73018833,25-Sep,,
377,-66.491325,44.73213,25-Sep,,
378,-66.49139667,44.732125,25-Sep,,
379,-66.49605167,44.728965,25-Sep,,
380,-66.49651667,44.72868167,25-Sep,,
381,-66.49804333,44.72792667,25-Sep,,
382,-66.49886,44.727565,25-Sep,,
383,-66.49933333,44.72742667,25-Sep,,
384,-66.49985333,44.727315,25-Sep,,
385,-66.50047667,44.727255,25-Sep,,
386,-66.50081333,44.72717333,25-Sep,,
387,-66.50096833,44.72710333,25-Sep,,
388,-66.50104833,44.72695667,25-Sep,,
389,-66.50094,44.72711167,25-Sep,,
390,-66.50083667,44.72751,25-Sep,,
391,-66.50136167,44.72793333,25-Sep,,
392,-66.502465,44.72866333,25-Sep,,
393,-66.50520167,44.73035,25-Sep,,
394,-66.50626333,44.73088833,25-Sep,,
395,-66.50684,44.73125833,25-Sep,,
396,-66.50760333,44.731855,25-Sep,,
397,-66.50801167,44.73212833,25-Sep,,
398,-66.50909167,44.73268,25-Sep,,
399,-66.50952333,44.73293333,25-Sep,,
400,-66.510005,44.73328167,25-Sep,,
401,-66.511075,44.73426667,25-Sep,,
402,-66.51238167,44.73523833,25-Sep,,
403,-66.51297667,44.73563833,25-Sep,,
404,-66.51589333,44.737425,25-Sep,,
405,-66.52589833,44.74291833,25-Sep,,
406,-66.53018667,44.745325,25-Sep,,
407,-66.5408,44.75061667,25-Sep,,
408,-66.55147333,44.75618667,25-Sep,,
409,-66.55440167,44.75784167,25-Sep,,
410,-66.56043333,44.76104,25-Sep,,
411,-66.56184167,44.76182833,25-Sep,,
412,-66.56902,44.76562667,25-Sep,,
413,-66.57877667,44.77069,25-Sep,,
414,-66.58213,44.77253833,25-Sep,,
415,-66.58738833,44.77530167,25-Sep,,
416,-66.59272333,44.77824833,25-Sep,,
417,-66.59956833,44.78193,25-Sep,,
418,-66.61059167,44.78801,25-Sep,,
419,-66.61955333,44.79277,25-Sep,,
420,-66.62311667,44.79459,25-Sep,,
421,-66.62567667,44.79596,25-Sep,,
422,-66.62846,44.79752,25-Sep,,
423,-66.6308,44.79876,25-Sep,,
424,-66.63385333,44.800495,25-Sep,,
425,-66.63737167,44.8024,25-Sep,,
426,-66.64102667,44.80446,25-Sep,,
427,-66.64232667,44.80514,25-Sep,,
